a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y
1729452,10468777,3048577,9072360,16206487,15884325,8486259,8511834,15542711,2788601,3849740,7584784,11134689,15680813,6415802,15598762,4097178,7687135,14315257,5490698,4350861,16325623,7241195,10641698,11108544
4975530,3522986,5171141,11516934,3045171,15948159,16086137,16637542,1576979,8074625,9928347,11349140,38507,4790881,6901591,8203498,5589713,921030,10058604,3883000,10810847,9921569,4681659,2258681,9535224
3503924,16693235,2772850,14105681,8421930,4481995,11566189,15136385,10039434,6349869,10517918,3501189,10320111,4480738,12935710,15172043,5082271,8880579,10978520,4703159,9377834,10697142,8614154,1731974,16243465
9257006,1862761,9994822,10100778,451031,5654965,15497398,10761717,3227974,3985651,8795593,3630575,7832727,9841022,4476894,4676357,13073327,6768487,16144019,10059105,12229418,9318171,1485144,10434318,7369315
7914394,867417,7444153,8864695,2494939,5814266,1257778,10979606,16549632,15946651,13251228,12884828,1430626,10487265,10891589,8924154,9988548,1916621,1949705,3550566,1073713,10172529,7803536,5925897,5847804
11567834,2327046,9882999,9700825,4274234,2857407,10972402,8967624,12273366,10122855,1760017,12925111,8009484,32453,4270268,14740354,11360158,10861142,7905991,6418675,7707716,13026030,2463366,10723861,8735143
3620586,13295997,10982400,6803921,11486674,12796559,6932045,2284217,1850309,7816295,7604541,12377700,9149523,12888337,15283592,15229980,8713927,4045905,1793315,6727286,9407008,9784319,9526376,11540881,11944034
779304,6234705,1591308,12289749,6054025,16260959,14728996,7467445,8360695,6769886,16274608,13375684,7859911,3403795,13880877,14696626,12414986,7831668,708109,5305473,5091049,15980017,11211140,14571210,3148639
10813314,3817557,10826913,13435291,12717510,3374497,12846117,16580549,7640965,14371028,1445396,11578188,8747214,2437490,3206417,9785854,14326186,15608721,15693613,15409613,11357009,9605486,9875272,7072320,2766596
981118,13757878,16393267,8086791,5158598,7431000,12029045,10752216,12069701,10459602,5679715,9350359,4265250,9637591,2955989,4647743,7778869,11280901,4267958,2109224,3875393,10714818,12372462,10959470,508750
2062137,5149624,15361929,1667600,8726435,3849167,7043200,13569822,11729354,10741033,2797718,7293544,15068595,10536402,4662864,11661821,6469180,5714201,8434008,13621490,3003388,12482884,849035,14035684,8486513
6147004,7195091,8881583,6207182,8540930,10109752,7433969,7510786,14847915,4314963,7052972,12139518,1181723,7455647,1051951,13114545,7076396,14482557,10535480,12738327,16159239,11922429,9536764,1212903,5799270
8030775,9761708,10247309,15271362,10026942,13251562,8038746,7006126,8127722,5219240,11517345,4932969,4078017,16388683,5023530,8425894,10389169,8638825,2980775,369066,10872659,7783581,1968168,13812585,6632697
799696,9236183,1460532,5921817,16590104,3844019,1142986,15546609,4232446,16123837,12726179,15775531,3982799,4366478,16395911,11233067,9999163,2810861,3722730,15031920,12405176,3302232,1387382,2639155,10007925
5338837,9906418,13340902,13807256,14592561,1876003,15778287,1584846,4579626,14688388,5852211,790373,2182930,9509096,13532404,1833223,1278054,15568055,3310174,6034742,11872313,11471716,14123372,12925548,4669368
3976289,9895497,12234082,4323545,10829795,6049484,13099147,1335009,5008867,3309851,4779221,16714542,2928135,15631162,9746506,8158496,3157496,9341661,8267524,5578527,11630763,13351883,10802948,15891437,10600234
9859417,9971235,13623270,618247,2990228,1352948,608182,3329808,3268601,3308079,345304,14887512,16713991,106508,3025021,12780413,15105555,435917,4193067,8153778,13315830,15176623,336473,4309212,16486385
7115931,6787975,5904651,15839412,6884597,3685904,3676860,4536651,5379838,11938683,1346487,10275091,1633950,7429622,12790965,1444648,14237941,5097962,2108471,4229025,15750439,11834061,250732,15140797,12996724
1161141,11654138,1333655,12985540,3962853,13578506,6858050,10554944,6611709,15325650,4365268,9023403,4143336,5332946,841223,7017018,7697905,10670853,10778473,3871925,15450242,5419836,6522740,2939324,1003369
3900468,11211018,3198663,11519125,1177031,15001548,15792187,16346090,2933274,671824,1882817,4458060,4234965,15979801,3846396,10756657,13838170,2830820,5972873,11478022,7474727,3962496,9241062,3481803,3221069
1127972,6923071,11057148,7755463,2374113,6398710,5552810,3265039,4343489,13168433,4041696,5119751,14523509,12892555,14250074,2455100,1365479,2442539,13690161,4155762,12483598,10881160,9279938,8272109,16303905
11295996,4546338,8888366,11412648,8630549,12091996,16345961,13010344,11265902,10426877,14803550,15819073,11666386,6742669,11814343,16164597,9903049,8491683,13274938,6699465,7959813,12823010,15312665,11911410,12574613
530473,11993603,13692863,16009401,13482755,6854282,12229332,14148217,5962584,7969411,11861891,13619618,12474328,16102523,12143957,14369884,2076048,5590820,12521792,8844278,2640985,4568061,798012,5205334,6549852
5888060,15631807,6815914,14912872,12257184,4749107,14789431,10817137,10123077,4869557,15467598,15387886,11190143,12122023,1030122,8087933,9850748,3057234,1737205,10306518,12428926,15765371,3497102,12954598,8458193
9665100,4047436,3279728,3859231,3380467,3326344,522167,3777802,6917340,5410827,3103312,5284853,12921940,9192324,840691,15640222,11053064,13428484,10860207,812000,10745164,3116330,733457,13532246,11912155
